1091,39179,1
1093,39181,1
1094,39182,1
1095,39183,1
1096,39184,1
1097,39185,1
1099,39187,1
1100,39188,1
1103,39191,1
1104,39192,1
1105,39193,1
1107,39195,1
1289,39377,1
1290,39378,1
1291,39379,1
1293,39381,1
1294,39382,1
1296,39384,1
1297,39385,1
1298,39386,1
1299,39387,1
1300,39388,1
1301,39390,1
1302,39391,1
1304,39393,1
1305,39394,1
1306,39395,1
1307,39396,1
1313,39402,1
1315,39404,1
1317,39406,1
1318,39407,1
1319,39408,1
1322,39411,1
1323,39412,1
1325,39414,1
1326,39415,1
1328,39418,1
1329,39419,1
1330,39420,1
1335,39425,1
1336,39426,1
1337,39427,1
1343,39433,1
1345,39435,1
1347,39437,1
1348,39438,1
1350,39440,1
1351,39441,1
1352,39442,1
1353,39443,1
1354,39444,1
1355,39445,1
1356,39446,1
1357,39447,1
1358,39448,1
1363,39451,1
1364,39452,1
1365,39453,1
1366,39454,1
1367,39455,1
1371,39459,1
1372,39460,1
1373,39461,1
1376,39464,1
1380,39468,1
1381,39469,1
1382,39470,1
1385,39473,1
1390,39478,1
1391,39479,1
1393,39482,1
1454,39543,1
1459,39548,1
1460,39549,1
1462,39551,1
1466,39555,1
1467,39556,1
1468,39557,1
1470,39559,1
1471,39560,1
1473,39562,1
1476,39565,1
1481,39570,1
1482,39571,1
1483,39572,1
1485,39574,1
1486,39575,1
1487,39576,1
1488,39577,1
1489,39578,1
1492,39581,1
1494,39583,1
1497,39586,1
1498,39587,1
1500,39589,1
1502,39591,1
1507,39596,1
1508,39597,1
1509,39598,1
1510,39599,1
1512,39601,1
1515,39604,1
1516,39605,1
1517,39606,1
1518,39607,1
1520,39609,1
1521,39610,1
1523,39612,1
1524,39613,1
1525,39614,1
1526,39615,1
1527,39616,1
1529,39618,1
1531,39620,1
1532,39621,1
1533,39622,1
1534,39623,1
1538,39625,1
1539,39626,1
1540,39627,1
1542,39629,1
1543,39630,1
1544,39631,1
1545,39632,1
1546,39633,1
1547,39634,1
1548,39635,1
1549,39636,1
1550,39637,1
1551,39638,1
1552,39639,1
1553,39640,1
1554,39641,1
1555,39642,1
1556,39643,1
1557,39644,1
1558,39645,1
1559,39646,1
1561,39648,1
1562,39649,1
1627,39712,1
1628,39713,1
1633,39718,1
1634,39719,1
1636,39721,1
1640,39723,1
1642,39725,1
1644,39727,1
1645,39728,1
1646,39729,1
1647,39730,1
1648,39731,1
1650,39733,1
1652,39735,1
1653,39736,1
