BB ID 1,BB ID 2,AB,BA
36366,143466,70973,824
36366,143467,3773,90410
36366,143472,19759,84707
36366,143468,106671,2257
36366,143471,34,1301
36368,143466,42,1400
36368,143467,8163,108850
36368,143472,8251,108585
36368,143468,170,6190
36368,143471,1156,108291
36369,143466,77819,719
36369,143467,1638,57814
36369,143472,7798,39498
36369,143468,105568,1263
36369,143471,107,486
36370,143466,34,2074
36370,143467,7207,108926
36370,143472,7254,108666
36370,143468,130,8374
36370,143471,876,108374
36373,143466,550,449
36373,143467,4848,103234
36373,143472,6667,99907
36373,143468,10174,779
36373,143471,157,32730
