BB ID 1,BB ID 2,AB,BA
62259,197097,9,14
62259,197098,319,17194
62259,197100,2089,99864
62259,197102,3845,102313
62259,197099,440,23231
62259,197101,1971,98548
62259,197103,1068,88186
62259,151810,866,82158
62260,197097,4139,891
62260,197098,820,12783
62260,197100,2838,87117
62260,197102,8790,98875
62260,197099,1404,19927
62260,197101,4842,90929
62260,197103,2084,68889
62260,151810,2079,63219
62262,197097,62055,4505
62262,197098,5934,30556
62262,197100,7985,89350
62262,197102,15911,98125
62262,197099,11615,52918
62262,197101,13974,94355
62262,197103,10224,83130
62262,151810,12117,82035
62264,197097,100729,4996
62264,197098,16012,21974
62264,197100,13306,79240
62264,197102,25397,93566
62264,197099,27565,36410
62264,197101,23907,83049
62264,197103,18223,67497
62264,151810,20926,65941
62263,197097,5469,2315
62263,197098,1410,44950
62263,197100,4496,99232
62263,197102,14843,102542
62263,197099,2905,70267
62263,197101,8021,99837
62263,197103,3818,93285
62263,151810,3283,88851
62261,197097,1176,123
62261,197098,125,974
62261,197100,1327,34424
62261,197102,3869,78067
62261,197099,344,2168
62261,197101,2107,36451
62261,197103,871,11885
62261,151810,608,7903
45289,197097,24610,289
45289,197098,19,2
45289,197100,387,1382
45289,197102,2256,6323
45289,197099,108,78
45289,197101,461,1328
45289,197103,72,247
45289,151810,13,54
