BB ID 1,BB ID 2,AB,BA
62271,197090,11,441
62271,197091,359,100283
62271,197093,2520,105867
62271,197095,4582,106656
62271,197092,534,101536
62271,197094,2510,105608
62271,197096,1426,104752
62271,151798,959,103596
62272,197090,69,1342
62272,197091,468,97957
62272,197093,3089,104976
62272,197095,7924,106166
62272,197092,1222,101323
62272,197094,4042,105026
62272,197096,2225,103976
62272,151798,1480,102658
62274,197090,210,3242
62274,197091,861,100029
62274,197093,3438,104956
62274,197095,12112,106246
62274,197092,2270,102581
62274,197094,6125,105293
62274,197096,3131,104361
62274,151798,2124,103200
62276,197090,918,2412
62276,197091,965,84193
62276,197093,3834,103060
62276,197095,15564,104849
62276,197092,2603,97737
62276,197094,7659,103645
62276,197096,3494,101991
62276,151798,2388,99716
62275,197090,169,5779
62275,197091,864,102733
62275,197093,3708,106042
62275,197095,12470,106965
62275,197092,2262,104252
62275,197094,6044,106245
62275,197096,3042,105441
62275,151798,2087,104606
62273,197090,39,137
62273,197091,245,20130
62273,197093,2361,99303
62273,197095,5272,102466
62273,197092,708,45183
62273,197094,2782,99018
62273,197096,1659,89976
62273,151798,906,78240
45274,197090,4355,162
45274,197091,20,173
45274,197093,1511,13370
45274,197095,3773,54216
45274,197092,346,844
45274,197094,1976,13188
45274,197096,824,3974
45274,151798,306,1532
