BB ID 1,BB ID 2,AB,BA
36366,143466,50649,1915
36366,143467,2574,109489
36366,143472,2953,109453
36366,143468,13524,2283
36366,143471,1547,28658
36368,143466,1091,1529
36368,143467,2200,109937
36368,143472,2467,109920
36368,143468,1024,3306
36368,143471,970,109952
36369,143466,110100,3328
36369,143467,7586,11761
36369,143472,9770,11360
36369,143468,109992,3359
36369,143471,106567,1665
36370,143466,909,2465
36370,143467,2260,110036
36370,143472,2557,110023
36370,143468,893,5263
36370,143471,979,110044
36373,143466,64266,904
36373,143467,2183,109148
36373,143472,2383,109002
36373,143468,16542,843
36373,143471,1697,10206
