BB ID 1,BB ID 2,AB,BA
1161,109329,98843,45373
1161,109330,59161,40707
1161,109332,42739,34864
1161,109333,40711,37714
1161,109334,28879,19954
1161,109335,62159,18658
1161,109336,66740,21487
1161,109338,62822,22706
1161,109341,81401,21120
1161,109337,86015,21466
1161,109342,83551,20960
1161,109344,67322,20762
1161,109339,71965,21077
1161,109345,68864,20277
1161,109346,71763,20376
1161,109347,58541,21029
1161,109340,69107,21449
1161,109348,80455,20869
1161,109349,76161,20611
1161,109343,71991,20417
1161,109331,14512,19950
1161,109350,61194,33447
1162,109329,100697,97756
1162,109330,67636,85819
1162,109332,51852,75871
1162,109333,35915,55506
1162,109334,9622,14607
1162,109335,20079,338
1162,109336,29662,997
1162,109338,27234,2637
1162,109341,50649,591
1162,109337,61529,675
1162,109342,56146,650
1162,109344,33887,1429
1162,109339,34548,266
1162,109345,26177,257
1162,109346,32002,543
1162,109347,21331,1690
1162,109340,28284,240
1162,109348,48346,420
1162,109349,39341,391
1162,109343,32307,571
1162,109331,10798,31045
1162,109350,68663,81304
1164,109329,101479,101172
1164,109330,68017,89582
1164,109332,52122,80323
1164,109333,36099,63777
1164,109334,2859,12478
1164,109335,6947,100
1164,109336,14119,159
1164,109338,11686,436
1164,109341,33278,195
1164,109337,46818,331
1164,109342,39920,311
1164,109344,18716,218
1164,109339,19588,115
1164,109345,12132,84
1164,109346,13188,77
1164,109347,6753,231
1164,109340,12604,108
1164,109348,30789,99
1164,109349,20868,75
1164,109343,13836,91
1164,109331,11505,41018
1164,109350,69573,86713
1165,109329,102206,101128
1165,109330,69921,89198
1165,109332,51664,78144
1165,109333,33888,57646
1165,109334,2063,7093
1165,109335,8589,89
1165,109336,12870,88
1165,109338,8245,74
1165,109341,38771,210
1165,109337,51294,345
1165,109342,46682,440
1165,109344,18456,94
1165,109339,21035,95
1165,109345,13781,73
1165,109346,21118,200
1165,109347,4675,51
1165,109340,12505,84
1165,109348,35642,116
1165,109349,25784,90
1165,109343,22002,220
1165,109331,11152,36512
1165,109350,71978,86616
1167,109329,102003,101328
1167,109330,69524,89590
1167,109332,53009,79749
1167,109333,36562,62114
1167,109334,4335,13179
1167,109335,10853,144
1167,109336,16455,168
1167,109338,11885,305
1167,109341,37158,209
1167,109337,50333,349
1167,109342,45050,436
1167,109344,20244,192
1167,109339,23728,136
1167,109345,15816,101
1167,109346,19312,197
1167,109347,7142,139
1167,109340,15274,115
1167,109348,34575,119
1167,109349,24759,95
