BB ID 1,BB ID 2,AB,BA
1161,109329,3814,1238
1161,109330,3537,109765
1161,109332,10055,109718
1161,109333,27287,109713
1161,109334,35286,109711
1161,109335,56346,109706
1161,109336,84971,109715
1161,109338,102300,109716
1161,109341,44138,109711
1161,109337,27176,109712
1161,109342,29531,109712
1161,109344,90585,109719
1161,109339,70331,109716
1161,109345,63951,109718
1161,109346,50256,109721
1161,109347,104493,109716
1161,109340,85968,109714
1161,109348,35898,109714
1161,109349,50832,109709
1161,109343,16175,109722
1161,109331,3718,109759
1161,109350,2730,109782
1162,109329,110151,5572
1162,109330,84846,3289
1162,109332,11041,104528
1162,109333,24054,104431
1162,109334,25521,104296
1162,109335,36197,104006
1162,109336,68621,104136
1162,109338,94134,104202
1162,109341,25792,103788
1162,109337,13341,103668
1162,109342,18720,103781
1162,109344,78138,104222
1162,109339,50563,104121
1162,109345,43803,104039
1162,109346,33557,103984
1162,109347,97910,104193
1162,109340,72769,104087
1162,109348,38971,103918
1162,109349,49970,103858
1162,109343,10020,104038
1162,109331,38327,3090
1162,109350,107791,2434
1164,109329,110150,22777
1164,109330,107155,17871
1164,109332,98446,10720
1164,109333,28975,30296
1164,109334,12825,51392
1164,109335,9578,72940
1164,109336,26823,80513
1164,109338,63689,81605
1164,109341,17297,4805
1164,109337,27506,115
1164,109342,28941,160
1164,109344,48484,83625
1164,109339,23232,80477
1164,109345,22981,73864
1164,109346,18800,34505
1164,109347,73805,81315
1164,109340,47075,79203
1164,109348,74184,6168
1164,109349,74301,38145
1164,109343,62230,1001
1164,109331,106563,15806
1164,109350,108113,19332
1165,109329,110151,63769
1165,109330,107292,60210
1165,109332,99350,52886
1165,109333,82507,34798
1165,109334,64803,26874
1165,109335,7036,5145
1165,109336,765,32886
1165,109338,9358,39826
1165,109341,69710,560
1165,109337,84823,718
1165,109342,84377,617
1165,109344,11324,44087
1165,109339,5375,10841
1165,109345,28246,2050
1165,109346,57716,418
1165,109347,17871,39969
1165,109340,5635,10919
1165,109348,86122,600
1165,109349,79839,149
1165,109343,92551,19051
1165,109331,106651,59468
1165,109350,108137,61597
1167,109329,110151,59035
1167,109330,107274,55395
1167,109332,99371,47801
1167,109333,83131,39564
1167,109334,65397,39890
1167,109335,9774,25956
1167,109336,1748,43826
1167,109338,9898,45656
1167,109341,73294,2939
1167,109337,86191,1385
1167,109342,84074,553
1167,109344,9903,49634
1167,109339,4472,24568
1167,109345,18472,4248
1167,109346,47850,558
1167,109347,16474,44608
1167,109340,3458,17787
1167,109348,84656,239
1167,109349,77574,73
1167,109343,92274,14233
1167,109331,106625,54050
1167,109350,108131,56441
1169,109329,110149,28904
1169,109330,107225,27635
1169,109332,99324,21300
1169,109333,65739,55548
1169,109334,28724,73957
1169,109335,14590,78555
1169,109336,24023,78170
1169,109338,62839,77888
1169,109341,52594,45532
1169,109337,79202,4525
1169,109342,69033,1536
1169,109344,45718,80007
1169,109339,18335,77496
1169,109345,26714,72752
1169,109346,27038,44192
1169,109347,71697,76886
1169,109340,32549,71900
1169,109348,65902,416
1169,109349,58475,2637
1169,109343,87825,2517
1169,109331,106638,26394
1169,109350,108112,25673
1171,109329,110146,9493
1171,109330,107073,5140
1171,109332,30281,58337
1171,109333,21902,100265
1171,109334,15914,99903
1171,109335,33783,99793
1171,109336,66544,100062
1171,109338,90456,100007
1171,109341,22367,98718
1171,109337,11446,97793
1171,109342,9068,97052
1171,109344,71037,100010
1171,109339,43032,99808
1171,109345,30812,99111
1171,109346,17568,98360
1171,109347,94799,99953
1171,109340,71052,99686
1171,109348,27515,96905
1171,109349,46327,97999
1171,109343,3874,69734
1171,109331,106153,4553
1171,109350,108119,7032
1172,109329,110151,21197
1172,109330,107207,20328
1172,109332,98291,40628
1172,109333,39206,93497
1172,109334,16148,93710
1172,109335,48522,94568
1172,109336,75814,94367
1172,109338,90855,93123
1172,109341,77091,94832
1172,109337,88016,94815
1172,109342,82150,92189
1172,109344,87111,94858
1172,109339,70532,95092
1172,109345,69290,94244
1172,109346,59136,93179
1172,109347,91350,92358
1172,109340,77535,92405
1172,109348,75900,83347
1172,109349,84488,89481
1172,109343,80084,53969
1172,109331,106600,20937
1172,109350,108150,20455
1175,109329,110153,13845
1175,109330,107122,12609
1175,109332,55418,73160
1175,109333,23283,100296
1175,109334,21287,100203
1175,109335,62614,100442
1175,109336,85737,100281
1175,109338,96135,99799
1175,109341,73961,100661
1175,109337,68249,100811
1175,109342,56320,100178
1175,109344,93789,100507
1175,109339,81412,100677
1175,109345,77448,100541
1175,109346,62163,100199
1175,109347,95886,99397
1175,109340,83487,99630
1175,109348,64140,98927
1175,109349,81043,99271
1175,109343,32207,96329
1175,109331,106324,14145
1175,109350,108108,12551
1176,109329,110153,13383
1176,109330,107165,10040
1176,109332,53186,48000
1176,109333,23212,99042
1176,109334,17911,98834
1176,109335,51117,99102
1176,109336,82564,99194
1176,109338,95268,98670
1176,109341,62397,99132
1176,109337,52427,99049
1176,109342,48640,98506
1176,109344,91336,99428
1176,109339,73524,99481
1176,109345,68871,99208
1176,109346,52621,98696
1176,109347,95846,98317
1176,109340,80546,98310
1176,109348,59015,96733
1176,109349,76775,97416
1176,109343,25799,78301
1176,109331,106327,9550
1176,109350,108127,10858
1168,109329,110152,63684
1168,109330,107331,60655
1168,109332,99697,56704
1168,109333,83613,38795
1168,109334,69021,35919
1168,109335,15711,17249
1168,109336,1629,36942
1168,109338,9188,40103
1168,109341,75102,2177
1168,109337,87083,2231
1168,109342,86951,2034
1168,109344,11750,44675
1168,109339,9866,21565
1168,109345,37482,5010
1168,109346,64219,1102
1168,109347,15843,39181
1168,109340,5396,11368
1168,109348,86952,786
1168,109349,81762,385
1168,109343,93588,25205
1168,109331,106679,60526
1168,109350,108142,61306
1177,109329,110148,36499
1177,109330,107341,37995
1177,109332,99617,35512
1177,109333,68813,59354
1177,109334,25644,68905
1177,109335,8587,73182
1177,109336,19999,76521
1177,109338,57037,76619
1177,109341,29321,10500
1177,109337,56285,406
1177,109342,54796,434
1177,109344,35965,77855
1177,109339,12241,73238
1177,109345,9553,54568
1177,109346,13426,10993
1177,109347,65226,75330
1177,109340,28707,69499
1177,109348,81971,2750
1177,109349,70932,8300
1177,109343,91212,11471
1177,109331,106657,36460
1177,109350,108139,36648
1178,109329,110153,55983
1178,109330,107366,55617
1178,109332,99581,52284
1178,109333,83212,61822
1178,109334,67317,73715
1178,109335,29857,74441
1178,109336,13502,67034
1178,109338,38411,62971
1178,109341,80146,57340
1178,109337,90248,39515
1178,109342,89897,33684
1178,109344,35559,69053
1178,109339,24583,69589
1178,109345,44405,62018
1178,109346,68947,50756
1178,109347,40190,60029
1178,109340,19110,56478
1178,109348,88970,10672
1178,109349,84864,15405
1178,109343,94245,36646
1178,109331,106723,55958
1178,109350,108171,54786
1182,109329,110153,43245
1182,109330,107267,43632
1182,109332,99202,46422
1182,109333,77064,83149
1182,109334,37143,88505
1182,109335,28938,87077
1182,109336,39764,85189
1182,109338,66284,82272
1182,109341,84049,87874
1182,109337,92218,78394
1182,109342,91149,71077
1182,109344,59769,85767
1182,109339,42167,86912
1182,109345,53033,85492
1182,109346,63425,83472
1182,109347,64974,79781
1182,109340,38084,79446
1182,109348,88333,43225
1182,109349,86189,68207
1182,109343,94172,46481
1182,109331,106700,44054
1182,109350,108156,42232
1183,109329,110152,29666
1183,109330,107251,28982
1183,109332,99390,30178
1183,109333,47808,73468
1183,109334,15767,84320
1183,109335,22713,87219
